Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/usabasketball/status/1821657224089120968,USA Basketball,https://twitter.com/usabasketball,2024-08-08,We don't play for Bronze. #USABMNT #Paris2024 #Basketball,https://pbs.twimg.com/media/GUfTe5BaUAAVnxV?format=jpg&name=small;https://pbs.twimg.com/media/GUfTflYa8AAYPHq?format=jpg&name=small,https://twitter.com/usabasketball/status/1821657224089120968,False,599,4.3K,32K,2.4M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/Olympics/status/1821641160638836967,The Olympic GamesReload,https://twitter.com/Olympics,2024-08-08,#OLYMPICRECORD FOR ARSHAD NADEEM! @Worldathletics | #Athletics #Paris2024 | #OMEGA | #OMEGAOfficialTimekeeper,,https://twitter.com/Olympics/status/1821641160638836967,False,308,2.6K,8.3K,181K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/TeamUSA/status/1821647406565618084,Team USA,https://twitter.com/TeamUSA,2024-08-08,The Cowgirl & The Queen.#ParisOlympics,https://pbs.twimg.com/media/GUfKqFvWAAA5AkY?format=jpg&name=small,https://twitter.com/TeamUSA/status/1821647406565618084,False,103,2.7K,27K,461K
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821616436399190039,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-08,LETSILE TEBOGO WINS THE MEN’S 200M FOR BOTSWANA!  #ParisOlympics,,https://twitter.com/NBCOlympics/status/1821616436399190039,False,260,2.1K,6.8K,1.2M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/NBCOlympics/status/1821266196697682284,NBC Olympics & ParalympicsReload,https://twitter.com/NBCOlympics,2024-08-07,NEVER doubt Quincy Hall. A EPIC comeback to win 400m GOLD! #ParisOlympics  NBC & Peacock,,https://twitter.com/NBCOlympics/status/1821266196697682284,False,989,12K,50K,6.6M
TopPost,#parisolympics,https://twitter.com/search?q=#parisolympics&src=typed_query&f=top,https://twitter.com/TeamUSA/status/1821630467155882197,Team USA,https://twitter.com/TeamUSA,2024-08-08,GOLD IN WORLD RECORD TIME@GoSydGo is an Olympic champion once again!#ParisOlympics,https://pbs.twimg.com/media/GUe7QJBaEAAmy7Q?format=jpg&name=small,https://twitter.com/TeamUSA/status/1821630467155882197,False,179,4.8K,25K,770K
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/Humaira_Bat00l/status/1821676680747864083,Humaira BatoolReload,https://twitter.com/Humaira_Bat00l,2024-08-08,"The emotion, the pride, the glory!  Thanks for making  #Pakistan proud #ArshadNadeem #JavelinThrow #Olympics2024 #GOLD #Paris2024 #NeerajChopra #Olympics",,https://twitter.com/Humaira_Bat00l/status/1821676680747864083,False,,1,3,128
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/MwangiJosiah/status/1821569897136083331,Josiah MwangiReload,https://twitter.com/MwangiJosiah,2024-08-08,Faith Kipyegon has been DQd. Tsegay came in front of her and Faith was almost falling off the track. What did they want her to do? #Olympics2024,,https://twitter.com/MwangiJosiah/status/1821569897136083331,False,2,,,885
TopPost,#olympics2024,https://twitter.com/search?q=#olympics2024&src=typed_query&f=top,https://twitter.com/ChrisChavez/status/1821274589990940902,Chris ChavezReloadNBC Olympics & Paralympics,https://twitter.com/ChrisChavez,2024-08-07,MUST WATCH: KENNETH ROOKS IS CRAZY FOR THIS ONE!ABSOLUTELY SENT IT. SILVER SHOCKER IN THE STEEPLECHASE. WOW!!#Paris2024  #Olympics2024 #Athletics,,https://twitter.com/ChrisChavez/status/1821274589990940902,False,83,573,7.9K,1M
TopPost,#paris2024,https://twitter.com/search?q=#paris2024&src=typed_query&f=top,https://twitter.com/NBA/status/1821651119652921700,NBA,https://twitter.com/NBA,2024-08-08,Scoring the FINAL 13 POINTS for USA to complete their #Paris2024 Semifinals comeback...Steph. Bron. KD.,https://pbs.twimg.com/media/GUfNew8XUAAUADs?format=jpg&name=small,https://twitter.com/NBA/status/1821651119652921700,False,500,7.1K,37K,2.3M
